s,n,M,I2
0,750,0,0
0.01,742.5,55.2713001816777,29.8936391227341
0.02,735,110.111920590989,59.6706973965147
0.03,727.5,164.102295626549,89.2168535112161
0.0375829801442457,721.812764891816,204.231284916201,111.400127801414
0.04,720,216.844491111906,118.422203921263
0.0474860335195531,714.385474860335,255.289106145251,140
0.05,712.5,267.971582048532,147.18322653221
0.06,705,317.155449498008,175.404471795378
0.07,697.5,364.112689840942,202.99992359156
0.08,690,408.608480669206,229.893995639526
0.09,682.5,450.45839737504,256.022152962042
0.1,675,489.528307675533,281.331169923383
0.11,667.5,525.732576591526,305.779054759258
0.12,660,559.030885665242,329.334684250012
0.13,652.5,589.424006412014,351.977200823679
0.14,645,616.948872329491,373.695228104985
0.15,637.5,641.673272274211,394.485960393376
0.16,630,663.690448117486,414.354177677273
0.17,622.5,683.113828896058,433.311231596791
0.18,615,700.072078939565,451.374040240782
0.19,607.5,714.704584060383,468.564121661479
0.2,600,727.157451609299,484.906688182297
0.21,592.5,737.580059277044,500.429816433696
0.22,585,746.122154901787,515.163701865829
0.23,577.5,752.931485185044,529.140001386074
0.24,570,758.151914417068,542.391263766957
0.25,562.5,761.921983981783,554.950444494985
0.26,555,764.373858311029,566.850499663328
0.27,547.5,765.632601855779,578.12405220684
0.27676888581197,542.423335641023,765.867318435754,585.415677049288
0.28,540,765.815733415577,588.803123087489
0.29,532.5,765.033007858426,598.918919820774
0.3,525,763.386380096886,608.501674863679
0.31,517.5,760.970111566337,617.580526755842
0.32,510,757.870984942796,626.183437431349
0.33,502.5,754.168598140266,634.337139731418
0.34,495,749.935713550185,642.067109797184
0.35,487.5,745.23864291992,649.397559670144
0.36,480,740.137652166884,656.351446050377
0.37,472.5,734.687373785465,662.950491743248
0.38,465,728.937217349793,669.215216854788
0.39,457.5,722.931770987431,675.164977270173
0.4,450,716.711188647329,680.818008368183
0.41,442.5,710.31155956285,686.191472289118
0.42,435,703.765257569735,691.301507387916
0.43,427.5,697.101268928659,696.163278772356
0.44,420,690.345498067396,700.7910290531
0.45,412.5,683.52105123813,705.19812862263
0.46,405,676.648498515602,709.397124938529
0.47,397.5,669.746114871071,713.399790417392
0.48,390,662.830101270167,717.217168652852
0.49,382.5,655.914786880417,720.859618758344
0.5,375,649.012813553455,724.336857705468
0.51,367.5,642.135303781497,727.65800058484
0.52,360,635.292013328904,730.831598760573
0.53,352.5,628.49146971634,733.865675924
0.54,345,621.741097694383,736.767762078693
0.55,337.5,615.047332790901,739.544925508694
0.56,330,608.415723956507,742.203802796436
0.57,322.5,601.851026268083,744.75062696703
0.58,315,595.357284584357,747.191253842411
0.59,307.5,588.937908981579,749.531186692846
0.6,300,582.595742732838,751.775599275252
0.61,292.5,576.333123532439,753.929357347934
0.62,285,570.151938607601,755.997038750344
0.63,277.5,564.053674303997,757.98295213441
0.64,270,558.039460679499,759.891154431271
0.65,262.5,552.110111592,761.725467134021
0.66,255,546.266160722343,763.489491473506
0.67,247.5,540.507893932128,765.186622560446
0.68,240,534.835378318266,766.820062563297
0.69,232.5,529.248488291567,768.392832987352
0.7,225,523.746928975016,769.907786116747
0.71,217.5,518.330257188703,771.367615677264
0.72,210,512.99790026225,772.774866774123
0.73,202.5,507.749172891907,774.131945155513
0.74,195,502.583292238082,775.441125849155
0.75,187.5,497.499391439681,776.704561216084
0.76,180,492.496531704126,777.924288462723
0.77,172.5,487.573713116123,779.102236649543
0.78,165,482.729884293991,780.240233231846
0.79,157.5,477.963951009518,781.340010165744
0.8,150,473.274783875731,782.403209610016
0.81,142.5,468.661225196531,783.431389252328
0.82,135,464.122095062773,784.426027286263
0.83,127.5,459.656196770896,785.38852706367
0.84,120,455.262321632624,786.320221445085
0.85,112.5,450.939253237398,787.2223768693
0.86,105,446.68577122306,788.096197161657
0.87,97.5,442.500654604737,788.942827099174
0.88,90,438.382684706937,789.763355749333
0.89,82.5,434.330647739335,790.558819598109
0.9,75,430.343337052725,791.330205481695
0.91,67.5,426.419555107965,792.078453335343
0.92,60,422.558115187495,792.804458771735
0.93,52.5,418.757842876031,793.509075500439
0.94,45,415.017577334444,794.193117599151
0.95,37.5,411.336172388388,794.857361646652
0.96,30,407.712497451159,795.50254872671
0.97,22.5,404.145438298272,796.129386311495
0.98,15,400.633897709568,796.738550032448
0.99,7.50000000000001,397.176795993029,797.330685346015
1,0,393.773071403126,797.906409101098
