s`,n`,M`
0,750,0
0.01,742.5,39.9335143812622
0.02,735,79.5558626269897
0.03,727.5,118.563908590182
0.0375829801442457,721.812764891816,147.557103351955
0.04,720,156.670144828352
0.05,712.5,193.609468030064
0.06,705,229.144812262311
0.07,697.5,263.071418410081
0.08,690,295.219627283501
0.09,682.5,325.456192103466
0.1,675,353.684202295573
0.11,667.5,379.841786587377
0.12,660,403.899814893137
0.13,652.5,425.85884463268
0.14,645,445.745560258057
0.15,637.5,463.608939218117
0.16,630,479.516348764884
0.17,622.5,493.549741377402
0.18,615,505.802077033836
0.19,607.5,516.374061983627
0.2,600,525.371258787719
0.21,592.5,532.901592827665
0.22,585,539.073256916541
0.23,577.5,543.992998046194
0.24,570,547.764758166332
0.25,562.5,550.488633426838
0.26,555,552.260112629719
0.27,547.5,553.1695548408
0.27676888581197,542.423335641023,553.339137569832
0.28,540,553.301867392754
0.29,532.5,552.736348177713
0.3,525,551.54665962
0.31,517.5,549.800905606678
0.32,510,547.56178662117
0.33,502.5,544.886812156342
0.34,495,541.828553040009
0.35,487.5,538.434919509642
0.36,480,534.749453690574
0.37,472.5,530.811627559999
0.38,465,526.657139535225
0.39,457.5,522.318204538419
0.4,450,517.823833797695
0.41,442.5,513.200101784159
0.42,435,508.470398594134
0.43,427.5,503.655666800956
0.44,420,498.774622353694
0.45,412.5,493.843959519549
0.46,405,488.878540177522
0.47,397.5,483.891567994349
0.48,390,478.894748167695
0.49,382.5,473.898433521101
0.5,375,468.911757792371
0.51,367.5,463.942756982131
0.52,360,458.998479630133
0.53,352.5,454.085086870056
0.54,345,449.207943084192
0.55,337.5,444.371697941426
0.56,330,439.580360558576
0.57,322.5,434.83736647869
0.58,315,430.145638112198
0.59,307.5,425.507639239191
0.6,300,420.925424124475
0.61,292.5,416.400681752187
0.62,285,411.934775643991
0.63,277.5,407.528779684637
0.64,270,403.183510340938
0.65,262.5,398.89955562522
0.66,255,394.677301121893
0.67,247.5,390.516953365962
0.68,240,386.418560834947
0.69,232.5,382.382032790657
0.7,225,378.407156184449
0.71,217.5,374.493610818838
0.72,210,370.640982939475
0.73,202.5,366.848777414403
0.74,195,363.116428642014
0.75,187.5,359.443310315169
0.76,180,355.828744156231
0.77,172.5,352.272007726399
0.78,165,348.772341402408
0.79,157.5,345.328954604377
0.8,150,341.941031350215
0.81,142.5,338.607735204494
0.82,135,335.328213682853
0.83,127.5,332.101602166972
0.84,120,328.927027379571
0.85,112.5,325.80361046402
0.86,105,322.730469708661
0.87,97.5,319.706722951922
0.88,90,316.731489700762
0.89,82.5,313.80389299167
0.9,75,310.923061020594
0.91,67.5,308.088128565505
0.92,60,305.298238222965
0.93,52.5,302.552541477932
0.94,45,299.850199624136
0.95,37.5,297.190384550611
0.96,30,294.572279408462
0.97,22.5,291.995079170502
0.98,15,289.457991095163
0.99,7.50000000000001,286.960235104963
1,0,284.501044088759
