s,n,M,M`
-1.51,1882.5,-271.62719993334,-17.9260409469758
-1.5,1875,-273.319202043971,-18.0455148181257
-1.49,1867.5,-275.031605715754,-18.1665916930003
-1.48,1860,-276.764764974924,-18.2893040465652
-1.47,1852.5,-278.519041576524,-18.4136852368281
-1.46,1845,-280.294805196521,-18.5397695350541
-1.45,1837.5,-282.092433628666,-18.6675921572289
-1.44,1830,-283.91231298618,-18.7971892968332
-1.43,1822.5,-285.754837908334,-18.9285981589899
-1.42,1815,-287.620411771981,-19.0618569960523
-1.41,1807.5,-289.509446908093,-19.1970051447059
-1.4,1800,-291.422364823361,-19.3340830646581
-1.39,1792.5,-293.359596426876,-19.4731323789958
-1.38,1785,-295.32158226195,-19.6141959162967
-1.37,1777.5,-297.308772743059,-19.7573177545814
-1.36,1770,-299.321628397949,-19.9025432672034
-1.35,1762.5,-301.360620114863,-20.049919170776
-1.34,1755,-303.42622939488,-20.1994935752423
-1.33,1747.5,-305.518948609323,-20.3513160362016
-1.32,1740,-307.639281262153,-20.5054376096111
-1.31,1732.5,-309.787742257279,-20.6619109089903
-1.3,1725,-311.964858170653,-20.8207901652616
-1.29,1717.5,-314.171167527007,-20.9821312893715
-1.28,1710,-316.407221081062,-21.1459919378423
-1.27,1702.5,-318.67358210298,-21.3124315814173
-1.26,1695,-320.970826667808,-21.4815115769705
-1.25,1687.5,-323.29954394861,-21.6532952428627
-1.24,1680,-325.660336512931,-21.8278479379393
-1.23,1672.5,-328.053820622184,-22.0052371443759
-1.22,1665,-330.480626533475,-22.1855325545922
-1.21,1657.5,-332.941398803336,-22.3688061624705
-1.2,1650,-335.436796592725,-22.5551323591265
-1.19,1642.5,-337.96749397259,-22.7445880335037
-1.18,1635,-340.534180229185,-22.937252678073
-1.17,1627.5,-343.137560168228,-23.1332084999456
-1.16,1620,-345.778354416858,-23.3325405377236
-1.15,1612.5,-348.457299722228,-23.5353367844372
-1.14,1605,-351.175149245424,-23.7416883169417
-1.13,1597.5,-353.93267284922,-23.9516894321737
-1.12,1590,-356.73065737804,-24.1654377906945
-1.11,1582.5,-359.569906928244,-24.3830345679788
-1.1,1575,-362.451243106674,-24.604584613941
-1.09,1567.5,-365.37550527515,-24.8301966212275
-1.08,1560,-368.3435507783,-25.0599833028405
-1.07,1552.5,-371.356255151855,-25.294061579705
-1.06,1545,-374.414512308171,-25.5325527788305
-1.05,1537.5,-377.519234695384,-25.7755828427767
